Date,IDRA,GILD
2006-07-25,2.86,14.716375944931
2006-07-26,2.86,14.828133849182
2006-07-27,2.85,14.554683657929
2006-07-28,2.81,14.856667782183
2006-07-31,2.8,14.62839631818
2006-08-01,2.76,14.435792270428
2006-08-02,2.72,14.64741894018
2006-08-03,2.72,14.759176844431
2006-08-04,2.7,14.583217590929
2006-08-07,2.64,14.725887255931
2006-08-08,2.61,14.64266328468
2006-08-09,2.55,14.66644156218
2006-08-10,2.45,14.709242461681
2006-08-11,2.36,14.754421188931
2006-08-14,2.39,14.63077414593
2006-08-15,2.75,14.794844260682
2006-08-16,3.05,15.218097600187
2006-08-17,3.2,15.213341944687
2006-08-18,3.45,15.134873628936
2006-08-21,3.52,15.130117973436
2006-08-22,3.45,15.089694901686
2006-08-23,3.44,15.013604413685
2006-08-24,3.39,15.146762767686
2006-08-25,3.38,15.027871380185
2006-08-28,3.33,15.329855504439
2006-08-29,3.4,15.227608911187
2006-08-30,3.41,15.089694901686
2006-08-31,3.48,15.075427935185
2006-09-01,3.62,15.058783140935
2006-09-05,3.65,14.947025236684
2006-09-06,3.67,14.63315197368
2006-09-07,3.65,14.699731150681
2006-09-08,3.58,15.144384939936
2006-09-11,3.33,15.087317073936
2006-09-12,3.2,15.180052356187
2006-09-13,3.26,15.146762767686
2006-09-14,3.29,15.097066167711
2006-09-15,3.35,15.396434681439
2006-09-18,3.35,15.41307947569
2006-09-19,3.35,15.44636906419
2006-09-20,3.12,15.44399123644
2006-09-21,3.2,15.275165466188
2006-09-22,3.15,15.403568164689
2006-09-25,3.4,15.734086221943
2006-09-26,3.41,15.879133714695
2006-09-27,3.63,16.009914240947
2006-09-28,3.8,16.319031848451
2006-09-29,4.1,16.352321436951
2006-10-02,4.19,15.284676777188
2006-10-03,4.2,14.749665533431
2006-10-04,4.16,15.213341944687
2006-10-05,4.05,15.529593035441
2006-10-06,3.9,15.539104346441
2006-10-09,3.95,15.498681274691
2006-10-10,3.95,15.44874689194
2006-10-11,3.78,15.529593035441
2006-10-12,3.75,15.895778508945
2006-10-13,3.7,15.905289819946
2006-10-16,3.79,16.052715140447
2006-10-17,3.9,16.169228700199
2006-10-18,3.9,16.102649523198
2006-10-19,3.79,16.2405635327
2006-10-20,3.9,16.404633647452
2006-10-23,3.86,16.497368929703
2006-10-24,4.0,16.321409676201
2006-10-25,3.95,16.157339561449
2006-10-26,3.95,16.490235446453
2006-10-27,3.88,16.212029599699
2006-10-30,4.0,16.399877991952
2006-10-31,3.79,16.383233197701
2006-11-01,3.74,16.069359934698
2006-11-02,4.0,16.171606527949
2006-11-03,3.9,16.135939111698
2006-11-06,3.95,16.364210575701
2006-11-07,3.9,16.585348556454
2006-11-08,3.76,16.402255819702
2006-11-09,3.95,15.945712891696
2006-11-10,4.0,16.012292068697
2006-11-13,4.04,15.948090719446
2006-11-14,4.06,16.074115590198
2006-11-15,4.04,16.138316939448
2006-11-16,4.05,16.2358078772
2006-11-17,4.05,16.509258068453
2006-11-20,4.48,16.383233197701
2006-11-21,4.91,16.052715140447
2006-11-22,5.3,15.824443676445
2006-11-24,5.48,15.729330566443
2006-11-27,5.15,15.503436930191
2006-11-28,5.0,15.724574910943
2006-11-29,4.96,15.872000231445
2006-11-30,5.0,15.684151839193
2006-12-01,5.0,15.508192585691
2006-12-04,5.25,16.078871245698
2006-12-05,5.4,16.097893867698
2006-12-06,5.5,16.193006977699
2006-12-07,5.5,15.902911992196
2006-12-08,5.61,15.722197083193
2006-12-11,5.61,15.634217456442
2006-12-12,5.22,15.517703896691
2006-12-13,5.26,15.210964116937
2006-12-14,5.1,15.063538796435
2006-12-15,4.7,15.334611159939
2006-12-18,4.45,15.168163217437
2006-12-19,4.84,15.370278576189
2006-12-20,5.1,15.398812509189
2006-12-21,5.74,15.543860001941
2006-12-22,5.3,15.336988987689
2006-12-26,5.35,15.48203648044
2006-12-27,5.39,15.700796633443
2006-12-28,5.37,15.539104346441
2006-12-29,5.39,15.43923558094
2007-01-03,5.28,15.015982241435
2007-01-04,5.57,15.263276327438
2007-01-05,5.65,15.268031982938
2007-01-08,6.28,15.272787638438
2007-01-09,6.32,15.45825820294
2007-01-10,6.43,15.382167714939
2007-01-11,7.3,15.750731016194
2007-01-12,8.03,15.731708394193
2007-01-16,7.55,15.776887121444
2007-01-17,7.67,15.786398432444
2007-01-18,7.7,15.731708394193
2007-01-19,7.45,15.593794384692
2007-01-22,7.82,15.277543293938
2007-01-23,7.9,15.180052356187
2007-01-24,7.69,15.277543293938
2007-01-25,7.55,15.077805762935
2007-01-26,7.57,14.916113475933
2007-01-29,7.62,15.025493552435
2007-01-30,7.78,15.092072729436
2007-01-31,8.55,15.294188088188
2007-02-01,9.0,17.008601895959
2007-02-02,9.18,16.804108709457
2007-02-05,8.98,16.649549905705
2007-02-06,9.25,16.723262565956
2007-02-07,9.45,17.177427666211
2007-02-08,9.44,17.158405044211
2007-02-09,9.3,16.920622269208
2007-02-12,9.32,16.837398297957
2007-02-13,9.25,16.780330431956
2007-02-14,8.7,17.05378062321
2007-02-15,9.17,17.165538527461
2007-02-16,9.02,17.134626766711
2007-02-20,9.14,17.284429914963
2007-02-21,9.24,17.650615388467
2007-02-22,9.3,17.610192316717
2007-02-23,9.23,17.507945723465
2007-02-26,9.1,17.607814488967
2007-02-27,8.45,16.782708259706
2007-02-28,7.92,17.015735379209
2007-03-01,7.84,16.785086087456
2007-03-02,7.53,16.749418671206
2007-03-05,7.33,16.642416422455
2007-03-06,7.45,16.815997848207
2007-03-07,7.37,16.661439044455
2007-03-08,7.5,16.659061216705
2007-03-09,7.45,16.706617771705
2007-03-12,7.02,16.839776125707
2007-03-13,7.15,16.366588403451
2007-03-14,7.63,16.540169829203
2007-03-15,7.8,16.673328183205
2007-03-16,8.19,16.535414173703
2007-03-19,8.48,16.827886986957
2007-03-20,8.6,17.312963847963
2007-03-21,8.7,17.693416287968
2007-03-22,8.5,17.769506775969
2007-03-23,8.3,17.733839359718
2007-03-26,8.24,17.90504295772
2007-03-27,8.3,17.833708125219
2007-03-28,8.16,17.843219436219
2007-03-29,8.25,18.130936593973
2007-03-30,8.59,18.226049703974
2007-04-02,9.0,18.192760115474
2007-04-03,9.04,18.523278172728
2007-04-04,8.9,18.532789483728
2007-04-05,9.0,18.623146938229
2007-04-09,8.97,18.475721617727
2007-04-10,9.1,18.375852852226
2007-04-11,9.19,18.237938842724
2007-04-12,8.91,18.782461397481
2007-04-13,8.86,18.646925215729
2007-04-16,8.89,18.951287167733
2007-04-17,8.95,18.870441024232
2007-04-18,8.93,18.649303043479
2007-04-19,9.13,19.429230545489
2007-04-20,9.15,19.590922832491
2007-04-23,9.29,19.781149052493
2007-04-24,9.1,19.823949951994
2007-04-25,9.19,20.026065310746
2007-04-26,9.1,19.968997444746
2007-04-27,9.12,19.464897961739
2007-04-30,9.0,19.431608373239
2007-05-01,8.84,19.636101559741
2007-05-02,9.0,19.833461262994
2007-05-03,8.93,19.785904707993
2007-05-04,8.91,19.764504258243
2007-05-07,8.9,19.726459014243
2007-05-08,8.99,19.693169425742
2007-05-09,8.8,19.752615119493
2007-05-10,8.43,19.267538258487
2007-05-11,8.73,19.53147713874
2007-05-14,8.81,19.426852717739
2007-05-15,8.82,19.460142306239
2007-05-16,8.75,19.971375272496
2007-05-17,8.77,19.719325530992
2007-05-18,8.72,19.740725980743
2007-05-21,8.65,19.664635492742
2007-05-22,8.78,19.907173923245
2007-05-23,8.9,19.633723731991
2007-05-24,8.88,19.576655865991
2007-05-25,8.77,19.436364028739
2007-05-29,8.7,19.48867623924
2007-05-30,8.8,19.560011071741
2007-05-31,8.51,19.681280286992
2007-06-01,8.11,19.735970325243
2007-06-04,8.3,19.921440889745
2007-06-05,8.5,19.804927329994
2007-06-06,8.43,19.357895712988
2007-06-07,8.12,18.68497045973
2007-06-08,8.19,18.785433682169
2007-06-11,8.11,18.837151435732
